electricity final consumption by sector in Turkiye,Value,Year,Units
Industry,165920,2000, TJ
Industry,161992,2001, TJ
Industry,175953,2002, TJ
Industry,193309,2003, TJ
Industry,208951,2004, TJ
Industry,218415,2005, TJ
Industry,238885,2006, TJ
Industry,257220,2007, TJ
Industry,261122,2008, TJ
Industry,246614,2009, TJ
Industry,278262,2010, TJ
Industry,309146,2011, TJ
Industry,324990,2012, TJ
Industry,328982,2013, TJ
Industry,345038,2014, TJ
Industry,362602,2015, TJ
Industry,378575,2016, TJ
Industry,407575,2017, TJ
Industry,411890,2018, TJ
Industry,401794,2019, TJ
Industry,417779,2020, TJ
Industry,479825,2021, TJ
Industry,464549,2022, TJ
Transport,2754,2000, TJ
Transport,2376,2001, TJ
Transport,2743,2002, TJ
Transport,2566,2003, TJ
Transport,2631,2004, TJ
Transport,2700,2005, TJ
Transport,2844,2006, TJ
Transport,3365,2007, TJ
Transport,3455,2008, TJ
Transport,2001,2009, TJ
Transport,2127,2010, TJ
Transport,2365,2011, TJ
Transport,2876,2012, TJ
Transport,2973,2013, TJ
Transport,3297,2014, TJ
Transport,3823,2015, TJ
Transport,4161,2016, TJ
Transport,4490,2017, TJ
Transport,4860,2018, TJ
Transport,5679,2019, TJ
Transport,5168,2020, TJ
Transport,5655,2021, TJ
Transport,6442,2022, TJ
Residential,85996,2000, TJ
Residential,84805,2001, TJ
Residential,84812,2002, TJ
Residential,90702,2003, TJ
Residential,99428,2004, TJ
Residential,111365,2005, TJ
Residential,124077,2006, TJ
Residential,131317,2007, TJ
Residential,142502,2008, TJ
Residential,140932,2009, TJ
Residential,149076,2010, TJ
Residential,159375,2011, TJ
Residential,163349,2012, TJ
Residential,161899,2013, TJ
Residential,166284,2014, TJ
Residential,172443,2015, TJ
Residential,184334,2016, TJ
Residential,195304,2017, TJ
Residential,196525,2018, TJ
Residential,202298,2019, TJ
Residential,218496,2020, TJ
Residential,221396,2021, TJ
Residential,222157,2022, TJ
Commercial and Public Services,79419,2000, TJ
Commercial and Public Services,82429,2001, TJ
Commercial and Public Services,89442,2002, TJ
Commercial and Public Services,97567,2003, TJ
Commercial and Public Services,105591,2004, TJ
Commercial and Public Services,115815,2005, TJ
Commercial and Public Services,127249,2006, TJ
Commercial and Public Services,140212,2007, TJ
Commercial and Public Services,146692,2008, TJ
Commercial and Public Services,150631,2009, TJ
Commercial and Public Services,162478,2010, TJ
Commercial and Public Services,172958,2011, TJ
Commercial and Public Services,182149,2012, TJ
Commercial and Public Services,194659,2013, TJ
Commercial and Public Services,206388,2014, TJ
Commercial and Public Services,215762,2015, TJ
Commercial and Public Services,229467,2016, TJ
Commercial and Public Services,252875,2017, TJ
Commercial and Public Services,271085,2018, TJ
Commercial and Public Services,267316,2019, TJ
Commercial and Public Services,248384,2020, TJ
Commercial and Public Services,260856,2021, TJ
Commercial and Public Services,274717,2022, TJ
Agriculture / Forestry,11052,2000, TJ
Agriculture / Forestry,11530,2001, TJ
Agriculture / Forestry,12564,2002, TJ
Agriculture / Forestry,13165,2003, TJ
Agriculture / Forestry,13319,2004, TJ
Agriculture / Forestry,14435,2005, TJ
Agriculture / Forestry,15422,2006, TJ
Agriculture / Forestry,17362,2007, TJ
Agriculture / Forestry,20318,2008, TJ
Agriculture / Forestry,16984,2009, TJ
Agriculture / Forestry,19566,2010, TJ
Agriculture / Forestry,17899,2011, TJ
Agriculture / Forestry,20642,2012, TJ
Agriculture / Forestry,17445,2013, TJ
Agriculture / Forestry,18352,2014, TJ
Agriculture / Forestry,17218,2015, TJ
Agriculture / Forestry,24019,2016, TJ
Agriculture / Forestry,23882,2017, TJ
Agriculture / Forestry,32728,2018, TJ
Agriculture / Forestry,33832,2019, TJ
Agriculture / Forestry,41039,2020, TJ
Agriculture / Forestry,49041,2021, TJ
Agriculture / Forestry,47782,2022, TJ
Fishing,,2000, TJ
Fishing,,2001, TJ
Fishing,,2002, TJ
Fishing,,2003, TJ
Fishing,702,2004, TJ
Fishing,374,2005, TJ
Fishing,561,2006, TJ
Fishing,568,2007, TJ
Fishing,583,2008, TJ
Fishing,575,2009, TJ
Fishing,540,2010, TJ
Fishing,630,2011, TJ
Fishing,417,2012, TJ
Fishing,244,2013, TJ
Fishing,230,2014, TJ
Fishing,352,2015, TJ
Fishing,482,2016, TJ
Fishing,590,2017, TJ
Fishing,674,2018, TJ
Fishing,624,2019, TJ
Fishing,540,2020, TJ
Fishing,538,2021, TJ
Fishing,557,2022, TJ
